Electrode,Weight
POL RpTH4-Ref-0,1438.5293784705798
POL RpTH8-Ref-0,-1426.6211795891552
POL LaTh1-Ref,1423.5856786561642
POL CINS1-Ref,1419.1389651599764
POL LOFC1-Ref-0,1417.8384940137987
POL LACC2-Ref,1409.3721875296578
POL RMCC12-Ref-0,1401.3706428977198
POL RpHP12-Ref,1400.3169404112934
POL LOFC2-Ref-0,1397.3510140966685
POL LMCC9-Ref-0,1392.540646103469
POL LpTh1-Ref,1392.0455642382494
POL AINS2-Ref,1390.0432825661328
POL RAMY10-Ref-3,-1386.848185427642
POL RsCC8-Ref,1381.4278732898517
POL LPHG7-Ref-0,-1377.8952201674822
POL RPCn16-Ref,1376.8399610933236
POL RpHP4-Ref,1369.3372782554552
POL RpHP9-Ref,-1365.9948321010645
POL LSCC9-Ref,1359.518953283833
POL RaTH12-Ref-0,-1357.5241991943878
POL LOFC9-Ref-0,1356.0532193590368
POL RAMY6-Ref-1,1346.1066247467486
POL LRMD9-Ref-1,-1345.9525550403744
POL RsCC6-Ref,1344.0374306794574
POL LOfC2-Ref,1343.594785361497
POL LMDT6-Ref,1343.0253290423743
POL RpTh6-Ref,-1336.920325673019
POL RaIN6-Ref,1336.4236298298988
POL LaTH7-Ref-0,1330.7269100644774
POL RaTH12-Ref-1,1325.9659027606624
POL LOFC5-Ref-0,1317.8941381933441
POL RMCC14-Ref-0,1313.9877005987844
POL RAMY11-Ref-2,-1311.9590699683777
POL RpTh12-Ref,1307.947949298433
POL LMCC7-Ref-0,1306.2267550906063
POL LaTH11-Ref-2,1305.655466997208
POL RsCC7-Ref,1302.4831660748284
POL LpTH3-Ref-1,1298.0743193873022
POL RMCC9-Ref-0,1297.8678664921065
POL LACC12-Ref,1295.5337141052923
POL LAMY1-Ref-1,1289.1457253347396
POL LaTH10-Ref-2,1288.1323853586805
POL LMDT4-Ref,1287.5214948103333
POL LACC10-Ref,1286.2470416806498
POL LOfC8-Ref,1284.6882705175888
POL LaTh10-Ref,1278.2408861698773
POL LvPH3-Ref,1274.6437081359948
POL RAMY5-Ref-3,1268.8788721940905
POL LAMY6-Ref-1,-1264.5553724660756
POL AINS1-Ref,1253.6144764782077
POL RpTH7-Ref-0,-1252.3404719696587
POL LaTh7-Ref,1250.6056729266272
POL RPvH10-Ref,1244.6800124094877
POL CINS5-Ref,-1243.2827316712235
POL LpTh13-Ref,-1237.1417060110368
POL LRMD10-Ref-0,-1233.7666403984665
POL LMDT7-Ref,1232.7509921860742
POL LPCn13-Ref,1225.1001314622574
POL LSCC8-Ref,1221.4556173288777
POL RAMY8-Ref-2,-1221.17349247961
POL LRCS12-Ref,1215.8717692690545
POL LAMY8-Ref-1,-1211.5549965759421
POL LaTH4-Ref-1,1211.4964012031623
POL RpHG6-Ref,1209.3749557653407
POL CINS10-Ref,1208.0637977726938
POL LRMD9-Ref-0,-1207.3250386231605
POL LAMY6-Ref-2,1204.5507920512239
POL LHiP1-Ref,1203.4927235835826
POL LPCn3-Ref,1202.9049249659538
POL LPHG4-Ref-0,1194.8013335841665
POL LHiP2-Ref,1187.1962610380594
POL RpHP5-Ref,-1186.6485553407208
POL RpIN8-Ref,1185.4914376715644
POL RpTh10-Ref,-1183.5088911112305
POL RPIN15-Ref-1,1177.2254918787253
POL LOfC10-Ref,1176.5158479209333
POL RPCn7-Ref,1173.245503553562
POL LpTh3-Ref,1172.5955071650953
POL RaTH8-Ref-1,1166.072999227735
POL RMiC1-Ref,1161.9298182797158
POL LAMY5-Ref-0,1160.5485397811665
POL RaTH9-Ref-0,-1158.9316205429302
POL LaIN12-Ref,-1156.6511053811334
